1,左京区の明日の天気を教えて,左京/区/の/明日/の/天気/を/教え/て,B-place/I-place/O/B-when/O/O/O/O/O
2,明日京都は晴れですか,明日/京都/は/晴れ/です/か,B-when/B-place/O/B-type/O/O
3,来週の天気を教えて,来週/の/天気/を/教え/て,B-when/O/O/O/O/O
4,明後日の天気は,明後日/の/天気/は,B-when/O/O/O
5,明日の東京の降水確率を教えて,明日/の/東京/の/降水/確率/を/教え/て,B-when/O/B-place/O/B-rain/I-rain/O/O/O
6,明日の夜は晴れそうですか,明日/の/夜/は/晴れ/そう/です/か,B-when/I-when/I-when/O/B-type/O/O/O
7,来週雪は降りますか,来週/雪/は/降り/ます/か,B-when/B-type/O/O/O/O
8,明日の東京の風速を教えて,明日/の/東京/の/風速/を/教え/て,B-when/O/B-place/O/B-wind/O/O/O
9,明日の降水量はどのくらいですか,明日/の/降水/量/は/どの/くらい/です/か,B-when/O/B-rain/I-rain/O/B-wh/I-wh/O/O
10,来週の月曜日は晴れますか,来週/の/月曜日/は/晴れ/ます/か,B-when/I-when/I-when/O/B-type/O/O
11,明日は寒いですか,明日/は/寒い/です/か,B-when/O/B-temp/O/O
12,今日の最高気温は何度ですか,今日/の/最高/気温/は/何/度/です/か,B-when/O/B-temp/I-temp/O/O/O/O/O
13,今朝の最低気温は何度でしたか,今朝/の/最低/気温/は/何/度/でし/た/か,B-when/O/B-temp/I-temp/O/O/O/O/O/O
14,福岡の天気を教えて,福岡/の/天気/を/教え/て,B-place/O/O/O/O/O
15,大阪は雨が降っていますか,大阪/は/雨/が/降っ/て/い/ます/か,B-place/O/B-type/O/O/O/O/O/O
16,札幌は晴れていますか,札幌/は/晴れ/て/い/ます/か,B-place/O/B-type/O/O/O/O
17,今日の浜松の最高気温は何度ですか,今日/の/浜松/の/最高/気温/は/何/度/です/か,B-when/O/B-place/O/B-temp/I-temp/O/O/O/O/O
18,先週の熊谷の最高気温を教えてください,先週/の/熊谷/の/最高/気温/を/教え/て/ください,B-when/O/B-place/O/B-temp/B-temp/O/O/O/O
19,この雨はいつまで続きますか,この/雨/は/いつ/まで/続き/ます/か,B-type/I-type/O/B-wh/I-wh/O/O/O
20,来週の最高気温を教えてください,来週/の/最高/気温/を/教え/て/ください,B-when/O/B-temp/I-temp/O/O/O/O
21,今夜は何時ごろから雨が降りますか,今夜/は/何/時/ごろ/から/雨/が/降り/ます/か,B-when/O/B-wh/I-wh/I-wh/I-wh/B-type/O/O/O/O
22,名古屋の明後日の降水確率を教えてください,名古屋/の/明後日/の/降水/確率/を/教え/て/ください,B-place/O/B-when/O/B-rain/I-rain/O/O/O/O
23,沖縄の気温はどれくらいですか,沖縄/の/気温/は/どれ/くらい/です/か,B-place/O/B-temp/O/B-wh/I-wh/O/O
24,千葉は晴れていますか,千葉/は/晴れ/て/い/ます/か,B-place/O/B-type/O/O/O/O
25,青森の雪はどれくらい降りそうですか,青森/の/雪/は/どれ/くらい/降り/そう/です/か,B-place/O/B-type/O/B-wh/I-wh/I-wh/I-wh/O/O
26,来週の仙台の天気を教えて,来週/の/仙台/の/天気/を/教え/て,B-place/O/B-wh/O/O/O/O/O
27,来週の金曜日は仙台は晴れますか,来週/の/金曜日/は/仙台/は/晴れ/ます/か,B-when/I-when/I-when/O/B-place/O/B-type/O/O
28,明日の降水量を教えてください,明日/の/降水/量/を/教え/て/ください,B-when/O/B-rain/I-rain/O/O/O/O
29,沖縄の最高気温はどうですか,沖縄/の/最高/気温/は/どう/です/か,B-place/O/B-temp/I-temp/O/O/O/O
30,明日のお昼は気温は何度まで上がりそうですか,明日/の/お昼/は/気温/は/何/度/まで/上がり/そう/です/か,B-when/I-when/I-when/O/B-temp/O/B-wh/I-wh/I-wh/I-wh/I-wh/O/O
31,釧路の最低気温を教えてください,釧路/の/最低/気温/を/教え/て/ください,B-place/O/B-temp/I-temp/O/O/O/O
32,広島の来週の天気を教えて,広島/の/来週/の/天気/を/教え/て,B-place/O/B-when/O/O/O/O/O
33,京都の週末の天気はどう,京都/の/週末/の/天気/は/どう,B-place/O/B-when/O/O/O/O
34,週末は晴れますか,週末/は/晴れ/ます/か,B-when/O/B-type/O/O
35,明日の鹿児島は風が強いですか,明日/の/鹿児島/は/風/が/強い/です/か,B-when/O/B-place/O/B-wind/I-wind/I-wind/O/O
36,明日の青森の最高気温を教えてください,明日/の/青森/の/最高/気温/を/教え/て/ください,B-when/O/B-place/O/B-temp/I-temp/O/O/O/O
37,明日は雪が降りますか,明日/は/雪/が/降り/ます/か,B-when/O/B-type/O/O/O/O
38,明日の朝はどれくらい寒いですか,明日/の/朝/は/どれ/くらい/寒い/です/か,B-when/I-when/I-when/O/B-wh/I-wh/B-temp/O/O
39,明日も東京は曇りですか,明日/も/東京/は/曇り/です/か,B-when/O/B-place/O/B-type/O/O
40,来週はいつごろまで雨が続きますか,来週/は/いつ/ごろ/まで/雨/が/続き/ます/か,B-when/O/B-wh/I-wh/I-wh/B-type/O/O/O/O
41,明日も暑いですか,明日/も/暑い/です/か,B-when/O/B-temp/O/O
42,今週はいつまで暑いですか,今週/は/いつ/まで/暑い/です/か,B-when/O/B-wh/I-wh/B-temp/O/O
43,明日の東京の気温を教えてください,明日/の/東京/の/気温/を/教え/て/ください,B-when/O/B-place/O/B-temp/O/O/O/O
44,ニューヨークの天気を教えて,ニューヨーク/の/天気/を/教え/て,B-place/O/O/O/O/O
45,ロサンゼルスの気温を教えて,ロサンゼルス/の/気温/を/教え/て,B-place/O/B-temp/O/O/O
46,明後日はどれくらい雨がふりそうですか,明後日/は/どれ/くらい/雨/が/ふり/そう/です/か,B-when/O/B-wh/I-wh/B-type/O/O/O/O/O
47,明日の朝はどれくらい冷えますか,明日/の/朝/は/どれ/くらい/冷え/ます/か,B-when/I-when/I-when/O/B-wh/I-wh/B-temp/O/O
48,奈良と大阪の天気を教えてください,奈良/と/大阪/の/天気/を/教え/て/ください,B-place/I-place/I-place/O/O/O/O/O/O
49,何時間後に雨が降りますか,何/時間/後/に/雨/が/降り/ます/か,B-wh/I-wh/I-wh/O/B-type/O/O/O/O
50,明日の正午には雨は止みますか,明日/の/正午/に/は/雨/は/止み/ます/か,B-when/I-when/I-when/O/O/B-type/I-type/I-type/O/O
51,明後日はお昼から晴れますか,明後日/は/お昼/から/晴れ/ます/か,B-when/I-when/I-when/I-when/B-type/O/O
52,この時期の新潟はどれくらい寒いですか,この/時期/の/新潟/は/どれ/くらい/寒い/です/か,B-when/I-when/O/B-place/O/B-wh/I-wh/B-temp/O/O
53,来週の金沢はどれくらい晴れますか,来週/の/金沢/は/どれ/くらい/晴れ/ます/か,B-when/O/B-place/O/B-wh/I-wh/B-type/O/O
54,明日の京都の降水確率は,明日/の/京都/の/降水/確率/は,B-when/O/B-place/O/B-rain/I-rain/O
55,木曜日の熊本の天気はどう,木曜日/の/熊本/の/天気/は/どう,B-when/O/B-place/O/O/O/O
56,明後日の埼玉の天気は,明後日/の/埼玉/の/天気/は,B-when/O/B-place/O/O/O
57,金曜日の京都はどれくらい暑くなりそうですか,金曜日/の/京都/は/どれ/くらい/暑く/なり/そう/です/か,B-when/O/B-place/O/B-wh/I-wh/B-temp/O/O/O/O
58,土曜日は何時ごろから雨が降りそうですか,土曜日/は/何/時/ごろ/から/雨/が/降り/そう/です/か,B-when/O/B-wh/I-wh/I-wh/I-wh/B-type/O/O/O/O/O
59,この後雨は降りそうですか,この/後/雨/は/降り/そう/です/か,B-when/I-when/B-type/O/O/O/O/O
60,明日の佐賀は寒いですか,明日/の/佐賀/は/寒い/です/か,B-when/O/B-place/O/B-temp/O/O
61,明日の佐賀の最低気温を教えてください,明日/の/佐賀/の/最低/気温/を/教え/て/ください,B-when/O/B-place/O/B-temp/I-temp/O/O/O/O
62,雨はいつ頃止みますか,雨/は/い/つ/頃/止み/ます/か,B-type/O/B-wh/I-wh/I-wh/B-type/O/O
63,明日雪はどれくらい積もりそうですか,明日/雪/は/どれ/くらい/積もり/そう/です/か,B-when/B-type/O/B-wh/I-wh/I-wh/O/O/O
64,雷はいつ頃止みますか,雷/は/い/つ/頃/止み/ます/か,B-type/O/B-wh/I-wh/I-wh/I-wh/O/O
65,明日雷は鳴りますか,明日/雷/は/鳴り/ます/か,B-when/B-type/O/O/O/O
66,どのくらいで霧は晴れますか,どの/くらい/で/霧/は/晴れ/ます/か,B-wh/I-wh/O/B-type/I-type/I-type/O/O
67,今日の夜は雨が降りますか,今日/の/夜/は/雨/が/降り/ます/か,B-when/I-when/I-when/O/B-rain/O/O/O/O
68,明日の京都の最大風速を教えて,明日/の/京都/の/最大/風速/を/教え/て,B-when/O/B-place/O/B-wind/I-wind/O/O/O
69,来週の大阪の降水確率は,来週/の/大阪/の/降水/確率/は,B-when/O/B-place/O/B-rain/I-rain/O
70,気温が暖かくなるのはいつ頃ですか,気温/が/暖かく/なる/の/は/い/つ/頃/です/か,B-temp/I-temp/I-temp/O/O/B-when/I-when/I-when/O/O/O
71,明後日の雨量はどれくらいですか,明後日/の/雨量/は/どれ/くらい/です/か,B-when/O/B-rain/O/B-wh/I-wh/O/O
72,大阪の風速はどのくらいですか,大阪/の/風速/は/どの/くらい/です/か,B-place/O/B-wind/O/B-wh/I-wh/O/O
73,東京の日曜日の降水確率を教えて,東京/の/日曜日/の/降水/確率/を/教え/て,B-place/O/B-when/O/B-rain/I-rain/O/O/O
74,明日東京は快晴ですか,明日/東京/は/快晴/です/か,B-when/B-place/O/B-type/O/O
75,明日砂塵は吹きますか,明日/砂塵/は/吹き/ます/か,B-when/B-type/O/O/O/O
76,来週あられは降りますか,来週/あら/れ/は/降り/ます/か,B-when/B-type/I-type/O/O/O/O
77,東京は雷雨ですか,東京/は/雷雨/です/か,B-place/O/B-type/O/O
78,今日は夕立は降りそうですか,今日/は/夕立/は/降り/そう/です/か,B-when/O/B-type/O/O/O/O/O
79,京都にひょうは降っていますか,京都/に/ひょう/は/降っ/て/い/ます/か,B-place/O/B-type/O/O/O/O/O/O
80,これから雨は強くなりそうですか,これから/雨/は/強く/なり/そう/です/か,B-when/B-type/O/B-wh/I-wh/O/O/O
81,兵庫の雨は止んでいますか,兵庫/の/雨/は/止ん/で/い/ます/か,B-place/O/B-type/I-type/I-type/O/O/O/O
82,今日は雨は降らないですか,今日/は/雨/は/降ら/ない/です/か,B-when/O/B-type/O/O/O/O/O
83,明後日の京都の風速はどう,明後日/の/京都/の/風速/は/どう,B-when/O/B-place/O/B-wind/O/O
84,今週は何曜日が一番寒くなりますか,今週/は/何/曜日/が/一番/寒く/なり/ます/か,B-when/O/B-wh/I-wh/O/B-temp/I-temp/O/O/O
85,来週一番暑いのはいつですか,来週/一番/暑い/の/は/い/つ/です/か,B-when/B-temp/I-temp/O/O/B-wh/I-wh/O/O
86,今年は東京に雪は降るかな,今年/は/東京/に/雪/は/降る/か/な,B-when/O/B-place/O/B-type/O/O/O/O
87,来週大雨は降るの,来週/大雨/は/降る/の,B-when/B-type/O/O/O
88,今の気温は,今/の/気温/は,B-when/O/B-temp/O
89,週末の沖縄の最大風速はどれくらいですか,週末/の/沖縄/の/最大/風速/は/どれ/くらい/です/か,B-when/O/B-place/O/B-wind/I-wind/O/B-wh/I-wh/O/O
90,来週で晴れる曜日を教えて,来週/で/晴れる/曜日/を/教え/て,B-when/O/B-type/B-wh/O/O/O
91,京都の一週間の天気を教えて,京都/の/一/週間/の/天気/を/教え/て,B-place/O/B-when/I-when/O/O/O/O/O
92,雪はいつ頃降り始める,雪/は/い/つ/頃/降り/始める,B-type/O/B-wh/I-wh/I-wh/I-wh/I-wh
93,いつぐらいから暖かくなり始めますか,いつ/ぐらい/から/暖かく/なり/始め/ます/か,B-wh/I-wh/I-wh/B-temp/O/O/O/O
94,雨はどれくらい続くの,雨/は/どれ/くらい/続く/の,B-type/O/B-wh/I-wh/I-wh/O
95,雨はどのくらい降るの,雨/は/どの/くらい/降る/の,B-type/O/B-wh/I-wh/I-wh/O
96,今日は風は強いの,今日/は/風/は/強い/の,B-when/O/B-wind/I-wind/I-wind/O
97,今日日本で一番暑い地域はどこ,今日/日本/で/一番/暑い/地域/は/どこ,B-when/B-place/O/B-temp/I-temp/O/O/O
98,来月雪は降りそうですか,来月/雪/は/降り/そう/です/か,B-when/B-type/O/O/O/O/O
99,雨雲は京都にかかっていますか,雨雲/は/京都/に/かかっ/て/い/ます/か,B-type/O/B-place/O/O/O/O/O/O
100,火曜日の京都の降水確率を教えて,火曜日/の/京都/の/降水/確率/を/教え/て,B-when/O/B-place/O/B-rain/I-rain/O/O/O